Course ID,Topic Name,Topic Link
4754,Augustus,http%3A%2F%2Fdbpedia.org%2Fresource%2FAugustus
4754,Empire,http%3A%2F%2Fdbpedia.org%2Fresource%2FRoman_Empire
4757,Ancient Greece,http%3A%2F%2Fdbpedia.org%2Fresource%2FAncient_Greece
4762,Greek,http%3A%2F%2Fdbpedia.org%2Fresource%2FAncient_Greece
4762,Classical Greece,http%3A%2F%2Fdbpedia.org%2Fresource%2FClassical_Greece
4762,vase,http%3A%2F%2Fdbpedia.org%2Fresource%2FPottery_of_ancient_Greece
4763,Hellenistic Age,http%3A%2F%2Fdbpedia.org%2Fresource%2FHellenistic_period
4763,Alexander,http%3A%2F%2Fdbpedia.org%2Fresource%2FAlexander_the_Great
4767,Empire,http%3A%2F%2Fdbpedia.org%2Fresource%2FRoman_Empire
4827,Ancient Greek,http%3A%2F%2Fdbpedia.org%2Fresource%2FAncient_Greek_literature
4827,Homer,http%3A%2F%2Fdbpedia.org%2Fresource%2FHomer
4827,Aeschylus,http%3A%2F%2Fdbpedia.org%2Fresource%2FAeschylus
4827,Sophocles,http%3A%2F%2Fdbpedia.org%2Fresource%2FSophocles
4827,Euripides,http%3A%2F%2Fdbpedia.org%2Fresource%2FEuripides
4827,Pindar,http%3A%2F%2Fdbpedia.org%2Fresource%2FPindar
4827,grammar,http%3A%2F%2Fdbpedia.org%2Fresource%2FGrammar
4838,Cicero,http%3A%2F%2Fdbpedia.org%2Fresource%2FCicero
4838,Sallust,http%3A%2F%2Fdbpedia.org%2Fresource%2FSallust
4838,Livy,http%3A%2F%2Fdbpedia.org%2Fresource%2FLivy
4838,Tacitus,http%3A%2F%2Fdbpedia.org%2Fresource%2FTacitus
4838,grammar,http%3A%2F%2Fdbpedia.org%2Fresource%2FGrammar
4847,Virgil,http%3A%2F%2Fdbpedia.org%2Fresource%2FVirgil
4847,Ovid,http%3A%2F%2Fdbpedia.org%2Fresource%2FOvid
4847,Horace,http%3A%2F%2Fdbpedia.org%2Fresource%2FHorace
4847,Juvenal,http%3A%2F%2Fdbpedia.org%2Fresource%2FJuvenal
4847,Lucretius,http%3A%2F%2Fdbpedia.org%2Fresource%2FLucretius
5059,procedural programming,http%3A%2F%2Fdbpedia.org%2Fresource%2FProcedural_programming
5059,function pointer,http%3A%2F%2Fdbpedia.org%2Fresource%2FFunction_pointer
5059,object-oriented programming,http%3A%2F%2Fdbpedia.org%2Fresource%2FObject-oriented_programming
5059,exception handling,http%3A%2F%2Fdbpedia.org%2Fresource%2FException_handling
5059,UML,http%3A%2F%2Fdbpedia.org%2Fresource%2FUnified_Modeling_Language
5060,object-oriented programming,http%3A%2F%2Fdbpedia.org%2Fresource%2FObject-oriented_programming
5060,Operator overloading,http%3A%2F%2Fdbpedia.org%2Fresource%2FOperator_overloading
5060,stream processing,http%3A%2F%2Fdbpedia.org%2Fresource%2FStream_processing
5060,object-oriented,http%3A%2F%2Fdbpedia.org%2Fresource%2FObject-oriented_programming
5060,exception handling,http%3A%2F%2Fdbpedia.org%2Fresource%2FException_handling
5060,UML,http%3A%2F%2Fdbpedia.org%2Fresource%2FUnified_Modeling_Language
5060,software repository,http%3A%2F%2Fdbpedia.org%2Fresource%2FSoftware_repository
5062,memory,http%3A%2F%2Fdbpedia.org%2Fresource%2FComputer_memory
5062,instruction set,http%3A%2F%2Fdbpedia.org%2Fresource%2FInstruction_set
5069,integration testing,http%3A%2F%2Fdbpedia.org%2Fresource%2FIntegration_testing
5069,formal methods,http%3A%2F%2Fdbpedia.org%2Fresource%2FFormal_methods
5069,Causality,http%3A%2F%2Fdbpedia.org%2Fresource%2FCausality
5070,concurrency,http%3A%2F%2Fdbpedia.org%2Fresource%2FConcurrent_computing
5070,synchronization,http%3A%2F%2Fdbpedia.org%2Fresource%2FSynchronization
5070,real time operating systems,http%3A%2F%2Fdbpedia.org%2Fresource%2FReal-time_operating_system
5070,concurrency,http%3A%2F%2Fdbpedia.org%2Fresource%2FConcurrent_computing
5070,synchronization,http%3A%2F%2Fdbpedia.org%2Fresource%2FSynchronization
5071,mathematical induction,http%3A%2F%2Fdbpedia.org%2Fresource%2FMathematical_induction
5071,program analysis,http%3A%2F%2Fdbpedia.org%2Fresource%2FStatic_program_analysis
5074,functional verification,http%3A%2F%2Fdbpedia.org%2Fresource%2FFunctional_verification
5074,formal verification,http%3A%2F%2Fdbpedia.org%2Fresource%2FFormal_verification
5080,synchronization,http%3A%2F%2Fdbpedia.org%2Fresource%2FSynchronization
5080,embedded system,http%3A%2F%2Fdbpedia.org%2Fresource%2FEmbedded_system
5101,VLSI,http%3A%2F%2Fdbpedia.org%2Fresource%2FVery-large-scale_integration
5102,DESIGN FOR TESTABILITY,http%3A%2F%2Fdbpedia.org%2Fresource%2FDesign_for_testing
5103,ASIC,http%3A%2F%2Fdbpedia.org%2Fresource%2FApplication-specific_integrated_circuit
5350,Instruction set architecture,http%3A%2F%2Fdbpedia.org%2Fresource%2FInstruction_set
5350,Assembly language,http%3A%2F%2Fdbpedia.org%2Fresource%2FAssembly_language
5391,Computer architecture,http%3A%2F%2Fdbpedia.org%2Fresource%2FComputer_architecture
5391,locality,http%3A%2F%2Fdbpedia.org%2Fresource%2FLocality_of_reference
5391,dependency theory,http%3A%2F%2Fdbpedia.org%2Fresource%2FDependency_theory
5391,Instruction level parallelism,http%3A%2F%2Fdbpedia.org%2Fresource%2FInstruction-level_parallelism
5391,Instruction scheduling,http%3A%2F%2Fdbpedia.org%2Fresource%2FInstruction_scheduling
